id,line,name,transfer_line,transfer_distance,transfer_time
1,1호선,서울역,4호선,159,2분13초
2,1호선,서울역,공항철도,309,4분18초
3,1호선,서울역,경의중앙선,164,2분17초
4,1호선,시청,2호선,101,1분24초
5,1호선,종로3가,3호선,118,1분38초
6,1호선,종로3가,5호선,312,4분20초
7,1호선,동대문,4호선,194,2분42초
8,1호선,동묘앞,6호선,96,1분20초
9,1호선,신설동,2호선,159,2분13초
10,1호선,신설동,우이신설선,129,1분48초
11,1호선,청량리,경의중앙선,165,2분18초
12,1호선,청량리,경춘선,203,2분49초
13,1호선,청량리,수인분당선,180,2분30초
14,1호선,시청,1호선,101,1분24초
15,2호선,을지로3가,3호선,149,2분4초
16,2호선,을지로4가,5호선,77,1분4초
17,2호선,동대문역사문화공원,4호선,45,0분38초
18,2호선,동대문역사문화공원,5호선,234,3분15초
19,2호선,신당,6호선,242,3분22초
20,2호선,왕십리,수인분당선,99,1분23초
21,2호선,왕십리,5호선,86,1분12초
22,2호선,왕십리,경의중앙선,50,0분42초
23,2호선,성수,2호선,23,0분19초
24,2호선,건대입구,7호선,77,1분4초
25,2호선,잠실,8호선,190,2분38초
26,2호선,종합운동장,9호선,94,1분18초
27,2호선,선릉,수인분당선,81,1분8초
28,2호선,강남,신분당선,214,2분58초
29,2호선,교대,3호선,75,1분3초
30,2호선,사당,4호선,74,1분2초
31,2호선,대림,7호선,276,3분50초
32,2호선,신도림,1호선,81,1분8초
33,2호선,신도림,2호선,81,1분8초
34,2호선,영등포구청,5호선,110,1분32초
35,2호선,당산,9호선,105,1분28초
36,2호선,합정,6호선,82,1분8초
37,2호선,홍대입구,공항철도,355,4분56초
38,2호선,홍대입구,경의중앙선,305,4분14초
39,2호선,충정로,5호선,212,2분57초
40,2호선,신설동,1호선,159,2분13초
41,2호선,신설동,우이신설선,273,3분48초
42,3호선,종로3가,1호선,118,1분38초
43,3호선,종로3가,5호선,117,1분38초
44,3호선,을지로3가,2호선,149,2분4초
45,3호선,교대,2호선,75,1분3초
46,3호선,양재,신분당선,93,1분18초
47,3호선,연신내,6호선,181,2분31초
48,3호선,불광,6호선,100,1분23초
49,3호선,충무로,4호선,17,0분14초
50,3호선,약수,6호선,130,1분48초
51,3호선,약수,경의중앙선,155,2분9초
52,3호선,고속터미널,7호선,169,2분21초
53,3호선,고속터미널,9호선,155,2분9초
54,3호선,도곡,수인분당선,78,1분5초
55,3호선,수서,국철,92,1분17초
56,3호선,가락시장,8호선,35,0분29초
57,3호선,오금,5호선,65,0분54초
58,4호선,서울,1호선,159,2분13초
59,4호선,서울,공항철도,224,3분7초
60,4호선,서울,경의중앙선,323,4분29초
61,4호선,동대문,1호선,194,2분42초
62,4호선,동대문역사문화공원,2호선,45,0분38초
63,4호선,동대문역사문화공원,5호선,107,1분29초
64,4호선,사당,2호선,74,1분2초
65,4호선,충무로,3호선,17,0분14초
66,4호선,노원,7호선,278,3분52초
67,4호선,창동,1호선,84,1분10초
68,4호선,성신여대입구,우이신설선,7,0분6초
69,4호선,이촌,경의중앙선,78,1분5초
70,4호선,삼각지,6호선,155,2분9초
71,4호선,동작,9호선,245,3분24초
72,4호선,총신대입구,7호선,171,2분23초
73,5호선,김포공항,공항철도,122,1분42초
74,5호선,김포공항,9호선,106,1분28초
75,5호선,김포공항,김포골드라인,200,2분47초
76,5호선,까치산,2호선,17,0분14초
77,5호선,영등포구청,2호선,110,1분32초
78,5호선,신길,1호선,242,3분22초
79,5호선,여의도,9호선,68,0분57초
80,5호선,공덕,6호선,73,1분1초
81,5호선,공덕,공항철도,275,3분49초
82,5호선,공덕,경의중앙선,214,2분58초
83,5호선,충정로,2호선,212,2분57초
84,5호선,종로3가,1호선,312,4분20초
85,5호선,종로3가,3호선,117,1분38초
86,5호선,을지로4가,2호선,77,1분4초
87,5호선,동대문역사문화공원,2호선,234,3분15초
88,5호선,동대문역사문화공원,4호선,107,1분29초
89,5호선,청구,6호선,104,1분27초
90,5호선,왕십리,2호선,86,1분12초
91,5호선,왕십리,경의중앙선,198,2분45초
92,5호선,왕십리,수인분당선,244,3분23초
93,5호선,군자,7호선,75,1분3초
94,5호선,천호,8호선,35,0분29초
95,5호선,강동,5호선,19,0분16초
96,5호선,올림픽공원,9호선,93,1분18초
97,5호선,오금,3호선,65,0분54초
98,6호선,신내,경춘선,50,0분42초
99,6호선,태릉입구,7호선,46,0분38초
100,6호선,석계,경원선,125,1분44초
101,6호선,동묘앞,1호선,96,1분20초
102,6호선,신당,2호선,242,3분22초
103,6호선,보문,우이신설선,87,1분13초
104,6호선,청구,5호선,104,1분27초
105,6호선,약수,3호선,130,1분48초
106,6호선,삼각지,4호선,155,2분9초
107,6호선,효창공원앞,경의중앙선,110,1분32초
108,6호선,공덕,5호선,73,1분1초
109,6호선,공덕,공항철도,265,3분41초
110,6호선,공덕,경의중앙선,152,2분7초
111,6호선,합정,2호선,82,1분8초
112,6호선,디지털미디어시티,경의중앙선,55,0분46초
113,6호선,디지털미디어시티,공항철도,186,2분35초
114,6호선,불광,3호선,100,1분23초
115,6호선,연신내,3호선,181,2분31초
116,7호선,도봉산,1호선,44,0분37초
117,7호선,노원,4호선,278,3분52초
118,7호선,태릉입구,6호선,46,0분38초
119,7호선,상봉,경의중앙선,100,1분23초
120,7호선,상봉,경춘선,100,1분23초
121,7호선,군자,5호선,75,1분3초
122,7호선,건대입구,2호선,77,1분4초
123,7호선,강남구청,수인분당선,125,1분44초
124,7호선,고속터미널,3호선,169,2분21초
125,7호선,고속터미널,9호선,314,4분22초
126,7호선,이수,4호선,171,2분23초
127,7호선,대림,2호선,276,3분50초
128,7호선,가산디지털단지,1호선,110,1분32초
129,7호선,온수,1호선,102,1분25초
130,7호선,부평구청,인천1호선,41,0분34초
131,8호선,천호,5호선,35,0분29초
132,8호선,석촌,9호선,82,1분8초
133,8호선,잠실,2호선,190,2분38초
134,8호선,가락시장,3호선,35,0분29초
135,8호선,복정,수인분당선,16,0분13초
136,8호선,모란,수인분당선,99,1분23초
137,9호선,선정릉,수인분당선,110,1분32초
138,9호선,종합운동장,2호선,94,1분18초
139,9호선,석촌,8호선,82,1분8초
140,9호선,올림픽공원,5호선,93,1분18초
